Measurement outcome,Frequency
00000000000000,4235
11111111111111,3703
00000000000001,7
11111111111100,5
11111110000000,12
00011111111111,12
00000001111111,9
11111111100000,13
00000000111111,15
00000000011111,7
00000111111111,5
00000000000111,5
01111111111111,3
10000000000000,9
11100000000000,9
00001111111111,5
00000011111111,9
11000000000000,7
11111111000000,13
11111111111000,6
11111100000000,8
11111111110000,10
11111111111110,9
00000000001111,7
11111000000000,8
11110000000000,6
00111111111111,10
00000000000011,3
11110000111111,1
00001111111110,1
00000000011000,1
00000001100000,1
11111111110001,1
11100111111111,1
10000000000111,1
01111111110000,1
00000000111000,2
00000011111100,1
00000011000000,1
00111111000000,1
10000001111111,1
00000011110000,1
11100011111111,1
00000001000000,1
11110000000001,1
00000011111000,1
11100001111111,1
00001111110000,1
00111000000000,1
00000000111100,1
00000001111110,1
00000001110000,2
00000111111100,1
00011111110000,1
00001111100000,1
11111100111111,1
11111110000111,1
00001111111000,1
01111110000000,1
10000000000001,1
00110000000000,1
11110111111111,1
11111100000111,1
00000000000110,1
10000111111111,1
01111111111000,1
10001111111111,1
01111111111110,1
